same_movie,neighbour1,neighbour2,neighbour3,neighbour4,neighbour5,neighbour6,neighbour7,neighbour8,neighbour9,neighbour10
1,694,5302,1084,13586,4181,1173,8800,15648,10257,15100
2,11212,2115,15376,4733,17142,13613,13127,11393,7195,3891
3,7293,3301,4628,4721,4450,5004,1479,9242,11059,2015
4,4358,4087,6562,6135,4992,2934,10106,13915,6660,11692
5,8747,12375,5138,2700,5892,10611,13329,3175,3939,17160
6,15747,16923,13660,4671,424,2889,4881,5516,4396,15404
7,1640,5011,3644,1519,1545,6009,12932,14597,13891,11444
8,14274,1865,4345,11022,2122,6029,12232,12084,3282,3917
9,11511,11070,12133,9755,7086,7452,938,10931,10538,2709
10,11680,5995,3584,4560,13003,2330,8971,3493,10635,4743
11,13741,878,14715,8305,2065,6276,11055,5210,9203,13832
12,90,10671,17107,14689,9941,17290,4536,14023,14720,12332
13,14478,17413,10772,15793,16408,16373,8210,7222,16310,15060
14,8252,15192,5690,15543,12968,10656,16374,1577,3985,10056
15,3755,8013,8279,16528,10400,5929,16455,5927,1720,5865
16,5481,16232,11938,10243,15377,16348,16298,15309,14137,12940
17,5730,5583,7939,11385,406,16262,12409,1060,15449,17409
18,15758,3730,15064,16150,1367,17764,10446,16538,7523,9818
19,6417,15126,8810,11799,8074,6485,16723,11601,16747,14596
20,2179,5964,10008,5726,6242,10477,11633,9163,2704,12268
21,8486,4121,317,3520,4311,17045,3666,9275,12611,6858
22,10549,941,14043,9906,1635,16811,7372,1205,4986,12565
23,4495,5152,4608,2625,13600,11135,1217,13436,11402,13065
24,4281,16630,3236,4097,1668,15749,3268,11969,11661,7628
25,11470,1006,6723,11205,12599,12443,13167,17380,12488,1402
26,11910,15712,9856,17361,17395,16887,11478,8014,14476,1160
27,15691,6154,1473,5334,9976,3677,11492,15486,10136,6853
28,8743,11089,6510,2690,3962,14621,3938,3079,16303,17627
29,15405,2513,16071,12824,14249,8162,1460,2561,6155,1694
30,6206,6287,11283,4656,13050,1905,5317,8644,2152,15107
31,10788,3726,4223,7800,11738,4842,16159,8660,5969,1942
32,4266,11153,14776,8393,10298,3478,267,15033,16113,11040
33,5297,15773,7496,17230,12834,16302,2532,7695,8580,15557
34,4205,8390,8690,6256,14610,13405,6112,8588,2373,3869
35,11806,9443,9814,8781,16340,15485,16628,15616,980,9059
36,8628,7625,15282,14807,9133,880,2479,8241,3438,10976
37,10679,3588,5383,7692,7170,12826,3139,5353,3827,10738
38,14470,6361,11319,4093,12351,1725,12231,6659,11819,8030
39,3745,12168,6043,1613,17425,873,14073,1296,1725,11440
40,2643,17541,1158,5842,8711,6338,17306,10561,16036,4546
41,17731,8069,10075,14880,15986,6770,6363,13305,6933,1570
42,8305,15399,15323,9992,3199,3162,15920,7581,4462,16933
43,1054,8309,6938,2619,14988,7550,15275,15061,3257,12229
44,1144,4577,11198,11446,13392,10988,8171,12305,7364,3538
45,8872,14212,7980,1862,7992,7401,14391,2876,16037,16158
46,17591,12262,8683,14134,17187,551,5094,11210,7827,5330
47,14719,4591,6710,8861,13934,6612,840,7960,15856,2525
48,13370,2654,12601,7667,12770,11967,10757,4342,3475,2346
49,8587,913,12532,3602,4882,8967,17260,5535,3785,11175
50,63,9576,12295,11355,9031,8902,8957,16741,11477,1258
51,15561,4476,10283,1213,8011,17322,13793,6429,2228,12334
52,8524,2329,9048,8637,720,1707,16703,17381,6450,4345
53,13332,2672,4023,2785,6774,5641,399,1429,13812,5213
54,5794,12282,16715,12348,6638,326,12835,1327,14379,9742
55,6923,8239,7169,12743,15455,4568,10337,7705,599,1027
56,3900,5224,6450,4785,3886,2813,4721,7955,13841,14264
57,7773,6486,13451,10446,7239,12896,14342,10371,5515,10729
58,985,5939,10168,9882,15124,7779,6972,3427,12918,12785
59,11602,14581,867,7530,5756,4957,12006,12893,1745,14049
60,2437,10815,13761,592,7982,1183,3918,8917,15761,14575
61,649,7204,772,13560,17256,4842,14679,7175,10878,1942
62,741,2232,8031,9499,7663,7618,1008,16763,1686,14348
63,249,1258,9031,5375,50,9449,3562,10691,13080,82
64,5077,14814,11415,11033,2318,3179,8715,12829,11381,9721
65,6843,3834,11419,8257,16331,4312,3411,12231,10794,9079
66,527,14354,14736,2483,10629,9153,291,16613,4126,16026
67,323,4044,12053,13962,1900,16279,1688,4667,13873,15867
68,14661,9296,7695,8580,33,2532,6251,15557,7496,5297
69,13661,11008,16904,8959,10985,4768,7862,8876,10376,16027
70,12525,3982,15721,14026,11437,12787,13009,8702,14872,3214
71,12411,3623,14904,12240,4581,16644,6664,16834,8524,9552
72,3694,2936,6331,1480,2446,14798,10330,13735,6241,9612
73,12875,3305,16664,11114,17095,16490,16843,155,11075,988
74,14549,17674,1070,10821,14151,8412,5165,16477,15558,12044
75,15102,13133,13596,7275,8374,14901,13509,15906,4368,536
76,9826,1882,1017,14235,10654,9619,11480,13588,6063,5043
77,3113,4216,10886,4841,12160,4698,10282,6687,16181,10123
78,551,7827,10830,9092,3210,46,13248,12546,17591,16790
79,9042,13107,3469,6085,1595,6852,7960,14335,14828,6710
80,13751,12522,11449,6699,4735,16244,6141,11930,7679,2027
81,6534,7621,8369,12356,3187,7432,4812,12022,10556,12697
82,9851,249,10691,17011,6579,3562,716,63,1952,14353
83,14963,13384,13392,2209,2953,4479,17441,6902,11051,12195
84,7278,3122,9737,16620,563,10685,16393,6027,4786,14754
85,2591,520,13146,7858,10817,7111,9063,3345,3430,9436
86,12217,13415,669,8056,1383,8028,2071,100,1548,7319
87,1641,1752,7020,402,3620,7460,7522,1850,6118,3445
88,14061,3390,9605,4918,12417,16822,6619,4415,16810,16745
89,9748,2931,10531,12247,5611,16964,13322,8132,14674,14287
90,14689,12,9941,17290,14720,4536,17107,1778,14023,12332
91,11558,17713,5892,5057,10763,3450,5772,13078,17427,12203
92,5381,5189,10535,3939,8747,16221,4313,9691,3175,13329
93,321,8407,15714,8032,5791,2786,11273,5846,15343,14952
94,12157,5595,10717,891,10318,1491,16919,6472,6709,2298
95,1999,12168,5120,11440,9873,11995,1613,17035,12903,8136
96,14556,10556,13953,10056,14427,17291,17283,10495,4812,2160
97,17681,5004,4820,1974,900,6664,516,4628,2015,7293
98,8508,1098,7016,12386,12156,8659,3790,11044,10898,6351
99,16681,1852,2084,979,4703,8927,4760,16367,11602,13224
100,12217,8028,654,14394,8056,17110,15297,2616,10323,10862
101,7044,15191,5916,814,1113,14415,11473,12712,7386,7811
102,3024,6749,7132,4741,15556,1018,4500,2677,9519,3555
103,13878,3081,5369,16575,6375,15872,11667,12545,3034,2345
104,2529,6110,12011,3880,7031,8497,15315,4912,10345,17290
105,15287,4934,2655,16484,16219,6353,17336,2703,2904,1887
106,16956,14464,5517,1647,2205,8979,4194,11328,4204,14777
107,11939,6531,673,2689,9637,8072,14022,3524,15880,6690
108,6134,11182,11314,12582,1220,1428,3624,2372,15788,6555
109,13223,1115,17044,15754,11685,702,8035,2961,14369,2303
110,2916,4970,8077,16733,17578,14624,9295,7877,13326,1866
111,2391,1962,10921,16882,9756,6859,14538,4745,3860,9645
112,2837,6950,16651,15607,9374,9437,8990,6310,12981,303
113,11860,10636,1300,14861,16994,1123,281,13634,17520,3500
114,10215,11693,8477,7292,3802,14189,16515,1713,16935,16184
115,15954,8912,12558,12082,14366,8480,10959,3117,1280,10456
116,3559,6409,12844,11995,178,4161,5182,9016,16702,11819
117,15575,15869,11961,12250,13441,7576,11024,16536,4689,17468
118,16532,9614,13501,3715,1799,9565,8107,14590,12435,5571
119,4020,16650,2596,6573,3996,7834,4939,5452,11087,8281
120,9769,14714,7560,4997,6359,15524,15399,7863,2451,9821
121,17172,9145,16683,7504,5404,9158,6217,17162,4090,9678
122,8837,8643,12940,15853,10243,16,14209,674,6922,4517
123,8306,9401,12888,6100,17451,8971,5829,11856,5427,11517
124,11016,1516,8132,4047,9708,12247,7313,12604,5874,7900
125,1853,10912,9294,8630,15988,15329,12376,6634,13311,3232
126,2374,13172,6571,16672,9537,10518,4695,3286,16595,10525
127,15741,11679,16461,9359,8243,1650,4298,7397,13058,6386
128,11349,11737,4738,17471,1876,2760,9130,14933,8036,15932
129,10960,14338,9151,15620,323,15867,10366,14292,1723,4111
130,15448,15783,8485,5551,10516,12821,15847,1463,12829,9203
131,1723,6715,10183,12725,16358,5744,6431,10247,1403,4170
132,7058,9792,5703,14196,11168,11751,1775,15737,5080,1154
133,14808,8298,10362,17391,14949,10347,9474,3950,7362,5448
134,17731,8069,6770,10332,8153,15986,10687,7480,13305,10638
135,3512,11324,430,15001,9141,8060,8695,699,4134,3025
136,12204,493,714,2563,8069,16980,16386,12129,8494,6216
137,10587,2565,10348,3665,6703,16833,6727,4654,6700,8193
138,15699,16937,10764,345,7865,10141,14214,7984,13658,209
139,1003,17038,4020,888,15089,5251,17366,6636,7372,10780
